"","","","Z_midvein4","Z_midvein3","Z_midvein.ave","Z_distal.lobe3","Z_distal.lobe2","Z_distal.ave","Z_proximal.tip2","Z_proximal.tip1","Z_proximal.ave","Z_petiolar.vein6","Z_petiolar.vein5","Z_petiolar.ave","Z_distal.sinus","Z_proximal.sinus"
"24","MO_679","E103","559.345013783979","559.499923543337","559.422468663658","483.708841717825","481.140428334598","482.424635026211","376.968168417441","376.563407675255","376.765788046348","192.615017298756","189.242016711406","190.928517005081","405.513708222053","108.37471517379"
"25","MO_680","E105","392.598204133692","393.020561520641","392.809382827166","347.468288881158","347.566038010045","347.517163445602","249.238829015465","249.856458791843","249.547643903654","137.379037702264","133.176489835856","135.27776376906","301.820857095728","75.0416550990182"
"26","MO_682","E108","427.178084384019","425.402096583926","426.290090483972","352.054357861112","353.470553071964","352.762455466538","278.780379510467","277.794888361899","278.287633936183","167.495909735133","163.680712907783","165.588311321458","303.329765913271","43.9004555785017"
"27","MO_685","E112","307.926412295211","311.941455867924","309.933934081567","274.19919908344","273.656757230659","273.92797815705","229.739693518556","229.030698331032","229.385195924794","117.655092915691","113.358358267046","115.506725591369","247.020652758023","77.6555206601566"
"28","MO_686","E113","383.695843084076","385.555558757749","384.625700920913","305.085233992076","293.815464005896","299.450348998986","261.000053427198","259.539014408239","260.269533917718","152.9007092495","146.903314387389","149.902011818444","283.832896065625","64.9927064292602"
"29","MO_687","E115","447.270192389343","444.275393196607","445.772792792975","326.593362438675","324.846459714432","325.719911076554","259.27904851723","256.527288996707","257.903168756968","173.107806005391","168.419491152301","170.763648578846","303.41465979415","73.2913705698017"
"30","MO_717","E149","367.811517628255","368.068268124271","367.939892876263","303.647892760678","291.053575442735","297.350734101706","240.412276100868","240.352475543731","240.3823758223","137.800580550301","132.712329871795","135.256455211048","257.558331041727","88.4113256319574"
"31","MO_722","E155","243.684734852227","244.78263781976","244.233686335994","224.466589941577","222.611672600517","223.539131271047","179.562155751149","179.258552872659","179.410354311904","110.59250935303","105.96469046338","108.278599908205","169.806507531366","70.5500161445765"
"32","MO_723","E154","337.786919357455","339.029190156246","338.408054756851","291.133874513084","269.122967763809","280.128421138446","192.668151091456","193.448885011002","193.058518051229","94.1734770410437","90.0277734924062","92.100625266725","248.993966015243","55.7898537191128"
"33","MO_726","E158","516.534848775956","516.291826392787","516.413337584372","499.419881351353","495.579986368497","497.499933859925","409.113141441338","406.085351250202","407.59924634577","255.783111248573","252.572390613068","254.17775093082","423.005796519386","103.578774370042"
