"","","","Z_midvein4","Z_midvein3","Z_midvein.ave","Z_distal.lobe3","Z_distal.lobe2","Z_distal.ave","Z_proximal.tip2","Z_proximal.tip1","Z_proximal.ave","Z_petiolar.vein6","Z_petiolar.vein5","Z_petiolar.ave","Z_distal.sinus","Z_proximal.sinus"
"23","MO_113.jpg","E145","470.979343968502","472.557718050399","471.76853100945","461.04207376117","463.085082655445","462.063578208307","334.337155844217","330.505182679485","332.421169261851","242.239755432506","238.577033448318","240.408394440412","293.274483869634","306.786074941481"
"24","MO_114.jpg","E146","393.081416502994","393.640699115323","393.361057809158","414.411176919735","407.574144857105","410.99266088842","355.694746158838","363.629228442929","359.661987300883","221.375824737029","216.610708158669","218.993266447849","285.043856274785","265.42159084935"
"25","MO_115.jpg","E147","475.947330886517","476.375097772753","476.161214329635","388.487484712185","381.757165981203","385.122325346694","270.050098644677","267.016995298052","268.533546971365","159.512923893332","155.589202710214","157.551063301773","296.057355554629","244.350368211304"
"26","MO_117_E149.jpg","E149","364.324567693424","364.199679091017","364.26212339222","287.792636961059","285.570561357434","286.681599159247","193.602695007069","196.025762054379","194.814228530724","133.909269242275","131.690841610189","132.800055426232","230.958488454094","163.542288916353"
"27","MO_118_E150.jpg","E150","316.958692103561","315.40608744918","316.182389776371","271.5308453933","274.134205271797","272.832525332549","188.307096255027","187.810576113274","188.058836184151","136.558349759361","135.220238459337","135.889294109349","159.702849066634","163.387767289966"
"28","MO_120_E152.jpg","E152","370.511391038116","370.659796100144","370.58559356913","375.421096903198","372.231558158359","373.826327530778","266.153287496135","272.179137497715","269.166212496925","201.422172453779","195.763685204892","198.592928829336","289.155632450762","225.053982166502"
"29","MO_121_E153.jpg","E153","362.249913733599","362.977702483224","362.613808108412","328.140720406657","329.286989401343","328.713854904","290.432762251437","293.084604489898","291.758683370668","182.732908306085","178.927557346542","180.830232826313","207.947973729008","195.99014615281"
"30","MO_122_E155.jpg","E155","250.802136709399","250.161947545985","250.482042127692","266.789811983141","267.090357162141","266.940084572641","235.102009538413","236.470773857997","235.786391698205","120.353021935471","116.957964196544","118.655493066008","240.9159433869","206.124355669096"
"31","MO_123_E154.jpg","E154","316.538011145581","315.400142675935","315.969076910758","342.688562368224","342.831090740032","342.759826554128","316.538095302919","319.683480614811","318.110787958865","246.2123814474","242.820688529623","244.516534988511","228.375416317081","257.503519393425"
"32","MO_124_E156.jpg","E156","432.066072365096","432.47824325508","432.272157810088","384.229757365303","382.041556786693","383.135657075998","335.297077895111","338.08160224715","336.68934007113","202.814944935032","198.849173719681","200.832059327357","300.566058556185","270.853304290348"
"33","MO_125_E157.jpg","E157","459.216552160307","457.332229104838","458.274390632572","416.368145329347","394.328059981787","405.348102655567","319.84745391827","319.299185370085","319.573319644178","206.976920882498","200.827572255405","203.902246568952","328.934572352922","278.186920772706"
"34","MO_126_E158.jpg","E158","493.899238486961","527.668462936719","510.78385071184","443.710178808194","451.15683501195","447.433506910072","326.534837345114","331.647780031768","329.091308688441","173.552045507969","169.081341371542","171.316693439755","401.997823377192","245.012754770032"
"35","MO_127_E161.jpg","E161","550.692823430631","551.679187370704","551.186005400667","424.994569900605","419.362491037289","422.178530468947","347.724675250405","348.398893352146","348.061784301276","179.955897374885","173.568790397352","176.762343886118","377.973911504485","311.830899331673"
"36","MO_128_E163.jpg","E163","681.096542349174","681.825857532552","681.461199940863","612.637331542896","610.807866681496","611.722599112196","479.931505529695","482.545334657791","481.238420093743","340.336080629133","332.146937029382","336.241508829258","415.377539113515","423.76099736644"
