"","","","X_midvein4","X_midvein3","X_midvein.ave","X_distal.lobe3","X_distal.lobe2","X_distal.ave","X_proximal.tip2","X_proximal.tip1","X_proximal.ave","X_petiolar.vein6","X_petiolar.vein5","X_petiolar.ave","X_distal.sinus","X_proximal.sinus"
"31","MO_112.jpg","E144","810.657165377572","809.887892790724","810.272529084148","655.411204427419","654.024080426707","654.717642427063","450.242418901196","456.298654148793","453.270536524995","207.05449161996","203.157112846191","205.105802233075","521.258357140679","375.456330054508"
"32","MO_113.jpg","E145","533.829372448725","534.985191903477","534.407282176101","476.357961575116","476.459850238192","476.408905906654","380.093884308864","379.943012686113","380.018448497489","237.226709663984","232.805865237541","235.016287450762","359.834997989356","320.47567285053"
"33","MO_114.jpg","E146","637.358908134185","634.723561875562","636.041235004873","563.07814732948","559.457841922875","561.267994626177","401.627937275285","410.776094728016","406.20201600165","254.545649693724","248.135593533052","251.340621613388","445.683744374865","304.151858087371"
"34","MO_115.jpg","E147","576.350009783985","577.79210698053","577.071058382258","485.494835079633","485.388858316711","485.441846698172","364.420317460484","374.812619851573","369.616468656029","214.973388534488","212.655935466189","213.814662000339","387.692255389504","306.946762304149"
"35","MO_117_E149.jpg","E149","383.630070365971","384.477166494969","384.05361843047","279.71236734367","279.714509614714","279.713438479192","196.904443266271","197.126278760596","197.015361013433","107.432712792706","104.932010792703","106.182361792705","237.112849833154","167.908376470622"
"36","MO_118_E150.jpg","E150","499.531030067202","501.194822399434","500.362926233318","454.950821518107","455.721680414702","455.336250966404","362.505517199394","366.136586535681","364.321051867537","185.322691540998","178.103902259327","181.713296900163","341.800359697002","293.902194615828"
"37","MO_120_E152.jpg","E152","551.217516856096","550.251391436678","550.734454146387","407.297868614605","406.064322217552","406.681095416079","292.515596926044","294.749045799982","293.632321363013","171.09889765279","164.333739013022","167.716318332906","316.67785173264","251.94777214534"
"38","MO_121_E153.jpg","E153","519.584143116397","516.503086900746","518.043615008572","462.094416759173","455.418763337656","458.756590048414","337.893844276572","345.731109389942","341.812476833257","188.223271674891","184.386764408403","186.305018041647","361.138823722956","258.256171271859"
"39","MO_122_E155.jpg","E155","412.058500566364","414.854132062102","413.456316314233","362.119110238606","362.478275211081","362.298692724844","293.327888207037","295.447118787779","294.387503497408","164.191389847336","160.036324001772","162.113856924554","273.282338942713","233.450744269535"
"40","MO_123_E154.jpg","E154","375.167679696692","377.874676829501","376.521178263097","346.66917787568","346.89927340512","346.7842256404","263.218857185423","262.708918345","262.963887765212","153.501670277557","149.823051557496","151.662360917526","292.174904618792","221.939387872004"
"41","MO_124_E156.jpg","E156","503.912506074219","504.695407922442","504.303956998331","396.447111857307","394.144405643414","395.29575875036","284.798139721804","290.449893938696","287.62401683025","161.001746884933","156.314786568642","158.658266726787","323.220222913109","193.629647494902"
"42","MO_125_E157.jpg","E157","662.29953260515","661.94138931555","662.12046096035","595.154091718271","571.803542409454","583.478817063862","516.204408909881","525.272415884367","520.738412397124","330.407324374022","324.487665233981","327.447494804001","464.201424910566","430.474832920579"
"43","MO_126_E158.jpg","E158","625.120735360778","626.225743464767","625.673239412772","504.599841458556","497.733956157303","501.166898807929","348.594759635024","348.578788638953","348.586774136988","201.000665561087","194.802380776006","197.901523168547","409.276831063035","303.422647658345"
"44","MO_127_E161.jpg","E161","450.0899910018","448.681215217441","449.38560310962","352.787841186456","353.321333758662","353.054587472559","244.469723642827","244.339439669489","244.404581656158","150.168168694301","144.72111417827","147.444641436286","278.279499385061","211.871660315862"
"45","MO_128_E163.jpg","E163","449.531882505568","449.649912586448","449.590897546008","360.817474632258","352.372139931635","356.594807281947","230.408604440025","230.662767910211","230.535686175118","133.211532909129","129.86242720664","131.536980057885","282.897949798156","190.309287739721"
"46","MO_129_E162.jpg","E162","731.192607852404","733.341294199365","732.266951025885","549.606546338378","540.92488737162","545.265716854999","386.011532356224","391.272620503914","388.642076430069","269.169108142075","263.650544808843","266.409826475459","440.701753772322","351.265977414551"
"47","MO_131_E164a.jpg","E164","70.2838736055433","72.8548069038687","71.569340254706","151.414992652643","140.972071702164","146.193532177403","91.7912032822318","93.2620635628442","92.526633422538","34.1878999062534","32.5624400191386","33.375169962696","126.65701717631","76.2844184614394"
"48","MO_132_E165.jpg","E165","542.065783625936","540.50301736253","541.284400494233","412.62320772831","406.386424204845","409.504815966577","284.84425569072","289.128426098161","286.98634089444","166.020518310238","161.617797596676","163.819157953457","342.903163525798","225.780451988209"
"49","MO_136_E172.jpg","E172","363.264710645006","363.68152276408","363.473116704543","440.79897320434","433.398578421757","437.098775813048","339.738870310714","348.468434725443","344.103652518078","182.673383088506","174.924734926196","178.799059007351","355.089364495756","277.932545773251"
