"","","","Y_mid.distal","Y_distal.prox","Y_prox.petiolar"
"66","MO_161_E201.jpg","E201","32.5948638686408","42.0909811611734","44.7637730027291"
"67","MO_163_E203.jpg","E203","40.396618638066","44.7720328139283","41.3911426423509"
"68","MO_164_E204.jpg","E204","36.0862718878226","44.823009756343","25.6150916942001"
"69","MO_166_E207.jpg","E207","32.6145371871506","39.3819478129377","46.4255312716838"
"70","MO_167_E206.jpg","E206","28.4277404946569","42.4402887677034","51.1154890499468"
"71","MO_168_E209.jpg","E209","34.8565190082201","50.7745783404834","48.9592135427329"
"72","MO_169_E210.jpg","E210","8.93048410802555","43.0539499542261","43.6458461553348"
"73","MO_170_E211.jpg","E211","44.4719663612297","48.2414496641716","45.1413839456758"
"74","MO_171_212.jpg","E213","33.8340530624859","39.6669628825568","50.2425388976092"
"75","MO165_E205.jpg","E205","46.2425957054791","51.3976622241115","40.4004723831878"
