"","","","X_mid.distal","X_distal.prox","X_prox.petiolar"
"32","MO_113.jpg","E145","38.7152833954695","38.6577891974512","42.9361941138426"
"33","MO_114.jpg","E146","26.1415173350793","52.6797925117135","46.7256577270704"
"34","MO_115.jpg","E147","31.6016204247376","41.9873091012145","49.015313430136"
"35","MO_117_E149.jpg","E149","42.3339970134596","56.2751215863401","31.3027751492632"
"36","MO_118_E150.jpg","E150","42.5250483846685","55.8698140803028","23.9024480223264"
"37","MO_120_E152.jpg","E152","34.34490554764","44.6185292524761","29.0623471118521"
"38","MO_121_E153.jpg","E153","17.1714526604523","41.8224450462613","33.2700006769956"
"39","MO_122_E155.jpg","E155","44.1627933331837","44.6790920677423","42.8148618834253"
"40","MO_123_E154.jpg","E154","62.3646395370283","42.833764933524","48.9089043763433"
"41","MO_124_E156.jpg","E156","28.1537689183768","43.1769491144068","31.5694577826466"
"42","MO_125_E157.jpg","E157","50.5153799225798","31.3011589491278","53.1744081269379"
"43","MO_126_E158.jpg","E158","44.6831745978311","42.6583777423399","41.1422983376461"
"44","MO_127_E161.jpg","E161","28.8732093195269","35.113910987887","30.5061572669374"
"45","MO_128_E163.jpg","E163","32.8681142445469","41.9541941308815","28.4797275175917"
"46","MO_129_E162.jpg","E162","39.9119570972832","42.5895597670501","32.3735109320553"
"47","MO_131_E164a.jpg","E164","64.5112598282222","71.9611205471277","NaN"
"48","MO_132_E165.jpg","E165","21.2265401893771","39.7140307687321","35.7644173760136"
"49","MO_136_E172.jpg","E172","39.4199746687435","37.5307673551173","19.1586967167732"
"50","MO_138_E174.jpg","E174","41.6696595522167","35.6529363517258","34.4931736445407"
"51","MO_141_E177.jpg","E177","14.7509208062892","50.4611490305547","50.348221867375"
"52","MO_143_E180.jpg","E180","42.9992784006909","52.1658423060682","9.5293969172255"
"53","MO_146_E183.jpg","E183","41.6593989383232","38.3166570206768","36.9923220034273"
"54","MO_148_E185.jpg","E185","17.9519030564755","30.4902331144362","61.5160023481631"
"55","MO_149_E186.jpg","E186","32.2995765391671","47.7810863344829","41.9054432607113"
"56","MO_150_E187.jpg","E187","25.7607901344838","55.0379391133907","36.3433883715802"
"57","MO_152_E189.jpg","E189","44.9076309499829","34.0861696152244","NaN"
"58","MO_153_E190a.jpg","E190","31.6995214959793","46.8690854432047","41.8877657090607"
"59","MO_154_E192a.jpg","E192","17.3154130506764","40.089553000956","51.0534043740198"
"60","MO_155_E193.jpg","E193","43.9040146083622","50.2057588646778","25.6273806484023"
"61","MO_156_E194.jpg","E194","40.1232840681721","48.1909882930598","41.1358378744057"
"62","MO_157_E195.jpg","E195","43.8827855099374","46.5176854602434","42.9805584465992"
"63","MO_158_E197.jpg","E197","38.9430548394917","44.2112467370191","31.8757085421155"
"64","MO_161_E201.jpg","E201","39.5674548683934","35.3660561373836","34.4982180096375"
"65","MO_163_E203.jpg","E203","24.8305172110825","40.1792185767643","41.3366947261049"
"66","MO_166_E207.jpg","E207","43.4228833125099","43.8264427084984","38.2568705524162"
"67","MO_167_E206.jpg","E206","32.2702883334411","45.7108427320657","40.8184677112918"
"68","MO_168_E209.jpg","E209","24.2905262231743","49.1723259658735","29.9831245104376"
"69","MO_170_E211.jpg","E211","33.6420108157208","41.9659211271185","36.2030842592562"
"70","MO_171_212.jpg","E213","39.032104264577","38.5128524414049","48.2370146058203"
"71","MO165_E205.jpg","E205","38.6718946866898","53.2945356973965","21.6155728576245"
