"","","","Y_midvein4","Y_midvein3","Y_midvein.ave","Y_distal.lobe3","Y_distal.lobe2","Y_distal.ave","Y_proximal.tip2","Y_proximal.tip1","Y_proximal.ave","Y_petiolar.vein6","Y_petiolar.vein5","Y_petiolar.ave","Y_distal.sinus","Y_proximal.sinus"
"11","MO_42_E52.jpg","E52","1400.30402155318","1399.71602254815","1400.01002205066","1065.92893759387","1063.49729665853","1064.7131171262","774.504034850691","770.687517739843","772.595776295267","424.662218710353","421.123794150841","422.893006430597","875.478440625467","688.211086804042"
"12","MO_71_E96.jpg","E96","1190.93011036668","1193.50251985029","1192.21631510849","1011.97409991017","1019.35456529021","1015.66433260019","803.834903309131","809.472050166033","806.653476737582","454.666188416293","451.439460934686","453.052824675489","858.420431309157","685.338596445582"
"13","MO_72_E97.jpg","E97","1218.50502666177","1219.13288857286","1218.81895761731","1069.0748336763","1042.14442377244","1055.60962872437","714.02975832804","718.497509931663","716.263634129852","363.944154751797","359.070576473484","361.50736561264","964.247374899201","643.099865408942"
"14","MO_73_588271a.jpg","588271 (Riparia parent)","818.917256978994","822.461381329239","820.689319154117","948.877494493362","940.614692634556","944.746093563959","633.591272387018","636.550529372964","635.070900879991","344.890694842583","340.103604639821","342.497149741202","793.269048235843","521.700085191674"
"15","MO_75.jpg","E99","888.945723877448","893.604078996957","891.274901437203","1070.41452250985","1067.08411102406","1068.74931676696","863.879910635732","871.800579261106","867.840244948419","515.886857750806","508.865895890066","512.376376820436","873.987557119665","582.562013866335"
"16","MO_76.jpg","E100","1153.57263832366","1148.68812385651","1151.13038109009","918.35096776777","875.329080974693","896.840024371231","705.957397990842","710.655933471325","708.306665731083","422.316256955614","417.684108973516","420.000182964565","828.128311314134","574.354763964747"
"17","MO_77.jpg","E101","919.412523782986","917.771758118542","918.592140950764","856.098709261964","850.00183346214","853.050271362052","747.915168689605","752.333382809111","750.124275749358","404.105832535241","396.74658144589","400.426206990565","743.274511872969","666.992002617722"
"18","MO_78.jpg","E102","1145.90129059095","1148.26588069924","1147.08358564509","986.336168296084","966.948663005953","976.642415651018","676.590844438498","679.37066670412","677.980755571309","466.321425509272","457.626393348329","461.973909428801","810.259870590294","387.660872269823"
"19","MO_79.jpg","E103","865.990906418768","869.243924338847","867.617415378808","738.405037902641","737.543388554192","737.974213228416","583.592537649343","589.292160137906","586.442348893625","344.134421411169","338.083569550489","341.108995480829","627.471911721951","477.485601877167"
"20","MO_80.jpg","E105","1162.0633712879","1163.19701164033","1162.63019146412","919.310249468589","908.929835820675","914.120042644632","675.555246363316","676.325251471509","675.940248917412","386.024461516366","378.027075603058","382.025768559712","795.522626956644","591.44737720274"
"21","MO_82.jpg","E108","1247.27278768079","1246.63124896218","1246.95201832148","1100.79504308886","1095.26298211891","1098.02901260388","879.436742340232","888.143843330009","883.790292835121","519.405002757001","510.006753768026","514.705878262513","960.65133471463","754.727730303452"
"22","MO_83.jpg","E109","1188.69382096484","1191.92701118819","1190.31041607651","1082.4463035181","1021.44994982623","1051.94812667216","944.96772431655","949.6620451508","947.314884733675","595.242400856995","589.034806932494","592.138603894744","936.119650472096","682.001649558122"
"23","MO_85.jpg","E112","1005.13819392609","1005.36262114722","1005.25040753665","803.643268980709","794.521608545041","799.082438762875","645.737699414398","652.479811863172","649.108755638785","411.749991364906","406.116150120874","408.93307074289","666.740233108068","556.660190581292"
"24","MO_86.jpg","E113","847.522216162503","842.874786535936","845.198501349219","872.424781858012","842.568679957308","857.49673090766","664.129385319608","670.844110390037","667.486747854822","507.28037393339","500.904629423606","504.092501678498","673.929055284011","506.860384020097"
"25","MO_98_E126b.jpg","E126","594.183894093403","591.528739792075","592.856316942739","879.832998232051","881.420274204082","880.626636218067","703.420943516754","706.443979929053","704.932461722903","435.076032180583","429.711907884806","432.393970032695","691.295736200506","589.676185621397"
