"","Spec_int","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Rb85","Sr88","Mo98"
"1","acerifolia","1.3843571","0.83673805","-0.32679835","-0.21296208","-0.054274","0.82562417","-0.18895535","0.10813656","1.3983957","1.442588","0.7377355","-0.13308476","-0.08126269","0.73411703","-0.2344447","0.12682785","2.2688951","0.467595"
"2","acerifolia","0.358291","0.0082515525","-0.89904255","-0.21477403","0.063718736","0.3357332","-0.257065","-0.9590086","0.3640423","0.28914982","-0.6702982","-0.583077","-0.20632516","0.15209284","-0.01341036","-0.60035366","0.46314663","0.100258306"
"3","acerifolia","0.5320987","0.37105086","0.27184454","-0.14654702","1.3944871","0.8765369","0.76721627","-0.24640983","0.41059843","0.42304906","-0.7409458","-0.21403018","0.33060864","0.24257803","-0.3949022","-0.6861629","0.6032045","0.4266104"
"4","acerifolia","0.8048639","0.68992513","-1.5220294","-0.26904562","-0.25409535","-0.2031916","-0.65466994","-1.3063632","-0.14856435","0.76229763","-0.35682276","-0.59495974","-0.48884425","0.5441766","-0.010252091","-0.64955264","-1.1150519","-0.32043403"
"5","acerifolia","0.6220996","-0.12300572","-0.061012458","-0.06184634","1.0876138","1.1632451","-0.049719136","-0.8769278","0.20036766","0.8220284","-0.039310962","-0.25327083","1.2023027","0.6386858","0.7095747","-0.78511363","-0.5329058","-0.57971865"
"6","acerifolia","1.1293865","0.46654022","-1.2556374","-0.19801569","-0.4409794","0.7801272","-0.041122045","-0.8939803","0.8924716","0.93548757","0.53865737","-0.37275887","-0.06869324","0.65353036","-0.37840834","0.37811893","-0.58685386","0.5674304"
"7","acerifolia","0.20176432","-0.10923733","-1.302308","-0.19885822","1.1767149","0.44485214","-0.13109997","-0.1522472","0.24905874","0.39992312","-0.66807646","-0.5984229","-0.0013305842","0.19373812","-0.4163689","-0.16588463","0.22234073","0.109145105"
"8","acerifolia","0.29664102","0.4259115","-1.6510526","-0.03886553","0.46845746","0.037867516","0.277534","-1.1013964","-0.8130075","0.2621196","-0.73278135","-0.6446102","-0.29513687","0.29701373","-0.10984106","0.22009932","-1.0347853","0.14768447"
"9","acerifolia","0.008864399","0.87158185","-1.4526216","-0.14228459","0.20757227","0.3377049","0.6563979","-1.2905027","-0.2835276","0.7674785","-0.16678251","-0.5665679","-0.32260817","0.5416311","0.015506596","0.06522989","-1.0200583","-0.023641013"
"10","acerifolia","0.49415445","1.6003051","-1.3592547","-0.00369688","0.62068033","0.7238922","0.6558237","-0.9103574","0.93945205","1.2180015","0.22838145","-0.53661424","-0.33088621","0.46513543","0.13323092","0.3528647","0.38161686","0.39997348"
"11","acerifolia","0.5141114","0.61488545","-1.4002074","-0.24382958","0.34160697","-0.05424987","0.102531396","-1.1448497","-0.27859077","0.42241955","-0.5765935","-0.6253233","-0.26654756","0.20701723","-0.23658493","-0.85234493","0.4841177","0.13408414"
"12","acerifolia","1.7898471","1.1716548","-1.8018345","-0.19993769","-0.55714875","-0.6229073","-0.17066295","-1.1106207","0.593454","0.5247673","-0.42760035","-0.5383002","-0.30506128","2.1830037","-0.058812264","-0.61282873","-0.58082676","0.27861217"
"13","aestivalis","0.77538204","0.106013104","-0.8384116","-0.051481023","0.64295685","0.9996407","0.7197447","-0.7044812","0.8003391","0.6969688","-0.090620644","-0.40966174","0.8791268","0.45210618","0.026069665","-0.74224246","0.035641555","0.9498661"
"14","aestivalis","0.80616707","1.7538","0.30198747","-0.0744372","1.4903948","1.8484311","1.0091677","-0.2112119","0.9202077","1.5444951","1.1826304","0.7146155","2.5028863","1.1555783","1.1743221","-0.14858484","0.7273541","-0.5652165"
"15","aestivalis","0.7832041","-0.042742915","-0.06760263","-0.09571689","0.50680554","0.4526321","-0.3881052","-0.527857","0.7074298","-0.032424167","-0.806832","-0.16078638","0.4737525","0.62170106","0.43705583","-1.1721362","0.18110497","-0.7055656"
"16","aestivalis","0.20058234","0.67553544","-1.6826878","-0.0108638285","0.607979","-0.02731649","1.096286","-1.0064548","0.08963607","1.293254","0.12389893","-0.16951501","0.47961262","1.0824469","0.8223086","-0.9115858","-0.5221163","-0.1909871"
"17","aestivalis","0.8498518","1.0050883","-0.5491358","0.111486726","0.8742066","1.080067","0.3260511","-0.5231184","-0.6099467","1.3326526","0.37091646","0.14868037","0.7619469","1.6334224","-0.20195329","-0.72286713","0.2031394","-0.7838795"
"18","aestivalis","0.4387049","-0.013780369","0.025572835","-0.070112094","1.2037212","1.0977229","0.22126368","-0.2891467","-0.20792632","-0.0026537632","-0.8584729","-0.4636861","1.0187116","0.68456364","-0.10620223","-0.9988555","1.1042722","-0.77001023"
"19","cinerea","2.720017","4.4237795","1.3052052","1.7906275","3.103562","2.719458","3.145235","-1.060449","1.5881578","4.538744","5.3840394","7.242631","2.651799","5.3869796","1.51966489670395","4.1282334","-0.88489","0.106940344"
"20","cinerea","0.88959247","2.2781656","0.7846976","0.18460049","2.3099246","2.382687","1.6302874","-0.6399714","1.2019024","1.2942995","1.8952591","1.1401895","1.4480627","1.5387199","0.098392986","0.6510662","0.51749253","1.3495128"
"21","cinerea","-0.24375585","0.573436","0.03645533","1.2759333","2.1660442","0.571657","1.3537707","-1.015125","1.2182233","1.3211142","0.959406","-0.121269345","1.183586","1.6805714","0.62103015","0.01548119","-0.57409316","0.06245459"
"22","cinerea","2.729306","4.8535695","0.15587765","0.51812161677395","1.7683758","1.7355034","0.95128757","-0.47979754","1.3007207","1.0577873","0.33226117","1.377623","2.6176894","1.696193","1.4396733","0.49335855","3.0272694","1.3635911"
"23","cinerea","1.6580602","1.5775439","-0.6411686","0.27621487","2.60701","2.9004254","1.6120633","0.057865176","0.7853132","2.1606126","1.2924755","0.76215065","3.117117","2.0847237","0.5489609","-0.7174693","1.2142446","5.9812083"
"24","cinerea","0.46990007","0.83910793","-0.4417704","0.41677988","1.2885783","3.6098454","-0.2711082","1.2039628","1.2183235","2.7346096","1.941312","0.5866152","2.1752548","2.4024296","0.3622883","-1.1464318","2.2389739","7.5995874"
"25","cinerea","0.88618994","0.15569088","-0.25935826","0.04229721","1.1026417","0.6709751","1.581627","-1.1197484","1.641669","0.78902125","0.11805167","1.2705789","2.4417458","1.5411975","-0.05830622","-0.76411974","-0.69592476","0.5355314"
"26","cinerea","3.1016517","3.6190276","-0.7636019","0.046802446","2.16892","1.4331226","2.4399686","-0.99850833","0.9533072","1.2061352","0.9083883","4.458811","3.21143","2.3471482","0.7710656","0.38290507","-0.86403835","4.1049957"
