,Spec_int,Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
133,9,144,0.008324438,14.67750112,4.190359772,1819.670464,3.968766313,1829.347163,1061.411855,6105.853053,14728.52038,32.82898802,30.27482883,0.084975342,0.578260763,7.498290747,17.65165616,0.004687339,0.088050775,4.298993068,7.882371504,0.11670031,0.000528499
134,9,145,0.011601066,16.15175398,8.532097453,1852.372845,4.549112482,1501.813446,554.6469712,6145.460547,14865.18156,32.55952577,53.96538641,0.129429435,0.742845614,7.592533066,14.42895843,0.00569839,0.138984766,6.198019512,7.61338892,0.11132779,0.003563637
135,9,146,0.005448707,16.40716948,8.768604183,1852.094094,2.63405906,2583.341073,1357.489337,8581.074042,14267.37188,20.98667259,25.00401133,0.087172312,0.383879905,9.603194956,11.84216592,0.001759726,0.058682655,10.38265183,7.611115345,0.207880466,0.003417271
136,9,147,0.008755763,16.36197646,8.265073686,2260.522931,3.217225087,2171.237,879.1516024,9468.987804,12617.10314,26.87630804,20.69355927,0.096693927,0.394973314,8.336689457,9.951086884,0.0036423,,18.41929816,8.935187929,0.115279508,0.002196163
137,9,148,0.008056551,14.97787163,5.901358268,1688.293095,3.057505389,1934.248799,1072.365369,6787.632428,14023.88019,23.71206852,22.82302062,0.083018255,0.631513939,7.171191307,20.68410102,0.003434373,,4.269206161,7.023649647,0.18460573,0.0044365
138,9,149,0.008681483,17.86855951,5.336850637,2026.639556,2.696344823,1875.190092,1300.619084,6074.989111,13521.59583,23.60212879,20.41940764,0.140828732,0.491794138,7.94703586,16.47552982,0.002546525,0.160631611,6.699568199,6.624474514,0.117674285,0.004902275
139,9,150,0.035760707,25.89288308,17.11607334,3012.060461,3.409076549,2813.928879,1323.869785,9450.639467,18117.61322,26.23274916,27.80805846,0.127978483,0.555227681,10.07549976,22.14557074,0.00343888,,8.149231261,12.74242382,0.159557564,0.00945081
140,9,151,0.011797467,24.62446292,11.89717535,2589.455374,3.966957203,2340.23546,1284.26013,7842.297204,16119.50612,27.26701985,32.35871724,0.12392126,0.613903604,10.06339277,10.79537996,0.004615623,0.162746825,5.007611388,10.17024705,0.160240312,0.008291802
141,9,152,0.012380052,18.34897363,10.40484387,2411.409185,5.52243385,1940.718156,910.8401154,7198.757336,16495.47655,30.70502748,24.9028809,0.107904423,0.542721666,7.164186338,15.1372259,0.005692597,0.104025922,3.243789002,9.388925334,0.17926522,0.003252464
142,9,153,0.006100198,15.78276841,10.05296488,2066.04133,2.499563212,2286.492929,1218.147382,7521.378835,11778.33956,22.22249578,18.08385424,0.099898218,0.419422267,8.086246175,11.68438163,0.003283033,,8.47433224,8.115857295,0.133530204,0.00165095
143,9,154,0.009128708,15.72210096,14.12561353,1706.160081,3.085190903,2143.551192,1032.894941,7873.922782,10165.77003,27.02937093,23.64888512,0.073492942,0.389040308,8.234598762,8.118991264,0.004098927,0.241544424,5.448181712,5.628233157,0.109779126,0.001641671
144,9,155,0.014654768,18.16516655,9.225509321,2070.135509,6.158906858,1961.92547,893.7246041,7193.712273,16936.40837,37.9377205,43.32109891,0.097902764,0.657959067,7.792413385,11.66179015,0.006494102,0.727464125,5.60014029,9.342196138,0.139446762,0.003529662
