Taxa,PC1,PC2,PC3,PC4,PC5
160_271_384__vDNAfen551A01_B12,-0.0013599324,0.0070769363,0.051092,0.0050190343,0.031289537
160_271_385__vDNAfen551A01_C12,-0.005664818,0.04272241,-0.01770633,-0.020717468,0.023204101
160_271_386__vDNAfen551A01_D12,-0.002049845,0.031724047,0.042917173,-0.023720374,0.012055251
160_271_387__vDNAfen551A01_E12,0.0053201644,-0.042941786,-0.006895134,-0.04766987,0.037354004
160_271_388__vDNAfen551A01_F12,0.0037943553,-0.05853063,0.0041157943,-0.010928059,0.0048091165
160_271_389__vDNAfen551A01_G12,0.0015420548,-0.047067802,0.013503833,-0.06546265,0.017142246
160_271_390__vDNAfen551A01_H12,0.005864654,-0.017486123,-0.067082204,-0.029240157,0.027796512
160_271_391__vDNAfen552A02_A01,0.003137685,-0.015946029,-0.022654973,-0.0384554,-0.07742088
160_271_392__vDNAfen552A02_B01,-0.0014359965,-0.004311212,0.02216878,0.014730356,0.07102907
160_271_393__vDNAfen552A02_C01,-0.0011045574,0.066695236,-0.014842139,0.002264008,-0.05757431
160_271_394__vDNAfen552A02_D01,0.0039809044,0.009578515,-0.019790117,0.03582216,-0.008751934
160_271_395__vDNAfen552A02_E01,0.008269792,-0.027668387,-0.05218096,0.008511436,0.003429831
160_271_396__vDNAfen552A02_F01,2.6167965E-5,-0.05056867,0.018840572,-0.015037646,0.021861594
160_271_397__vDNAfen552A02_G01,-0.0017461407,0.009275166,0.028671356,-0.02352089,0.01524724
160_271_398__vDNAfen552A02_H01,0.0058741886,-0.07637906,0.028521646,0.008448913,-0.09500216
160_271_399__vDNAfen552A02_F02,-0.0021556239,0.047750987,0.0035514077,0.01663503,-0.05846171
160_271_400__vDNAfen552A02_G02,0.0031272096,0.02258772,-0.043987226,0.016128007,-0.027547656
160_271_401__vDNAfen552A02_H02,-0.0011003999,-0.030938426,0.021758845,0.030112881,-0.033259958
160_271_402__vDNAfen552A02_A03,-0.009089602,0.059242066,0.015281289,-0.017401041,-0.032841247
160_271_403__vDNAfen552A02_B03,-0.00188897,0.07733469,0.013384422,-0.035969846,-0.0027932727
160_271_404__vDNAfen552A02_C03,-0.006010863,-0.009535321,0.03928336,-0.01418375,0.042562246
160_271_405__vDNAfen552A02_D03,0.0038937754,0.003919278,0.0077861375,0.06811281,0.026717905
160_271_406__vDNAfen552A02_E03,0.00902645,-0.0054067457,-0.052269474,-0.034224313,-0.022087032
160_271_407__vDNAfen552A02_F03,-0.0021640665,0.022316512,-0.0260142,0.027520448,0.01716007
160_271_408__vDNAfen552A02_G03,-4.6485895E-4,0.01680743,-0.03234184,0.032218967,0.019691395
160_271_409__vDNAfen552A02_H03,0.009456411,-0.07104753,0.0043075006,0.01871405,-0.01728716
160_271_410__vDNAfen552A02_A04,-0.0025812294,0.007700629,0.049048245,-0.012377471,0.06922998
160_271_411__vDNAfen552A02_B04,0.001368822,-0.012955718,-0.05365386,-0.0176135,-0.050589927
160_271_412__vDNAfen552A02_C04,0.0042671915,0.05024007,-0.02498238,0.03655419,-0.022052076
160_271_413__vDNAfen552A02_D04,-0.008644342,0.04454735,-0.015575997,0.013920893,0.015734874
160_271_414__vDNAfen552A02_E04,-0.0020454763,0.02492484,-0.0055885375,0.013250822,-0.012217985
160_271_415__vDNAfen552A02_F04,0.0012155304,0.045645483,-0.0027873013,0.03562875,0.014818679
160_271_416__vDNAfen552A02_G04,0.0049562305,0.029369669,0.08035766,0.014445018,-0.00286489
160_271_417__vDNAfen552A02_H04,0.0040382976,0.044304352,-0.034074392,0.010976655,-0.04787155
160_271_001__vDNAlon499A03_A01,-7.778961E-4,0.0027937428,0.08606409,-0.018562883,0.0023852158
160_271_002__vDNAlon499A03_B01,-0.003705408,0.013905723,-0.02186964,0.015655413,0.0014696901
160_271_003__vDNAlon499A03_C01,-0.0072811553,0.024122555,0.024877427,-0.028864369,0.0137142325
160_271_004__vDNAlon499A03_D01,-0.0027223735,-0.017863162,0.018371198,0.028853716,0.03137453
160_271_005__vDNAlon499A03_E01,-0.0054145604,-0.020747643,0.026027821,-0.038204905,-0.016319675
160_271_006__vDNAlon499A03_G01,-0.008465124,0.027975878,0.008907109,-0.038773414,0.04708448
160_271_007__vDNAlon499A03_F01,0.0050635897,-0.0041559497,-0.046978384,-0.04463546,0.0019877683
160_271_008__vDNAlon499A03_A02,-0.0015163413,-0.05028156,0.006282074,0.008389044,0.060146153
160_271_009__vDNAlon499A03_H01,-0.010732428,0.01684888,0.012016411,-0.0022469824,-0.027513716
160_271_010__vDNAlon499A03_B02,-0.009984813,0.04544606,-0.0055524874,0.0033546896,0.010543834
160_271_011__vDNAlon499A03_C02,-0.0012412965,0.0062920223,-0.035752684,-0.016544588,0.047293115
160_271_012__vDNAlon499A03_D02,0.004934337,-0.009864216,-0.042485192,-0.02818772,0.029418623
160_271_013__vDNAlon499A03_E02,-0.0038641475,-0.004819661,-0.0147322565,-0.0070775524,0.026527548
160_271_014__vDNAlon499A03_F02,0.0029395986,-0.051375426,0.0330374,-0.021640968,-0.010705207
160_271_015__vDNAlon499A03_G02,-3.60528E-4,0.06517044,-0.023278138,0.012941586,-0.017204255
160_271_016__vDNAlon499A03_H02,-0.0018904243,0.019604327,0.05789976,0.0017474042,-0.011769083
160_271_017__vDNAlon499A03_B03,0.0013170763,-0.008286005,-0.03851591,-0.033229902,0.0013691039
