,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,12.0,0.43552566,-0.5321845,-0.47347218,0.29831618,0.40078142,0.10193177,-0.09092352,-0.8685244,1.0031656,0.31960344,0.65167236,0.18030556,0.5462014,-0.049502485,-0.36243814,0.04909265,,-0.9760307,0.49289152,0.45599753,-0.21196151
11,13.0,0.13567948,-1.087222,-0.040349025,-0.4279157,0.102018096,-1.0262938,0.59768295,-0.83777565,0.27731824,0.41427246,1.6997876,2.1743226,1.2869749,-0.89207846,-0.3021251,-0.5671071,-0.08591923,-0.7739052,-0.4896349,-0.7353986,-0.25038716
12,14.0,-0.1334474,-0.111308254,-0.3716374,0.35664973,-0.19476447,-1.597051,-1.159613,-1.3648592,0.58746696,-0.23328385,1.2277783,-0.089562684,-0.022362586,-0.7066111,-0.47148663,-0.5224045,-0.12337429,-1.0117556,0.038925137,-0.8623999,-0.18306494
13,15.0,1.5310421,0.35121974,-0.23058769,-0.11805737,1.4354405,-1.1642745,-0.3623277,-0.6772998,1.6361811,1.6574639,4.5606294,2.0127122,1.1259395,-0.98887926,0.4282085,0.75087196,-0.082593665,-0.93050843,1.1034763,0.36803758,-0.11320988
14,16.0,0.0048091817,1.2928826,-0.32679644,1.4529761,-0.016085627,-0.44296744,1.0604148,-0.8975027,1.9272505,0.0042703524,1.4047318,0.7675331,0.4741402,-0.2576862,-0.57714736,-0.209982,-0.068044476,-1.0551206,1.8957418,0.048023548,-0.09357183
15,19.0,0.21468408,-1.1162534,-0.36620942,-0.33547744,0.27169767,-0.98274964,0.43733633,-0.41096276,0.23687077,0.30658787,3.6268973,1.4051889,1.8916856,-0.6137408,0.37199378,0.023636127,-0.06795528,0.070762575,-0.22661933,-0.9348121,-0.09533874
16,20.0,-0.20989443,1.7546889,-0.29104733,0.6424138,-0.2017351,-0.50130904,-0.7933987,-1.1629671,1.0641383,-0.08150192,0.25448927,0.21296999,0.1508957,-0.11442838,-0.7150124,-0.42950815,-0.089655586,-0.6973629,1.0412155,0.14461598,-0.16206422
17,22.0,0.18955196,2.1892352,-0.11916684,-0.05300054,0.058524407,-0.1960072,0.76335424,-0.46498564,1.6269596,0.20774998,0.017716926,-0.22958057,0.30105487,0.16129403,-0.513448,-0.014724689,-0.06671151,-0.44800323,1.5159304,-0.11221068,-0.19367023
18,23.0,0.71378523,-0.9295448,-0.47347808,-1.1288122,1.3061184,-1.6393713,0.8746916,-0.020603849,-0.7708739,1.3106759,-0.18068771,0.40592015,1.5174824,-1.3640325,-1.1965461,0.7233672,-0.050684,-0.5618905,-0.44161958,-0.6609816,-0.13565765
19,24.0,0.2388906,0.6672558,0.110250935,0.21810743,0.18327583,0.6934513,0.28232893,-0.37373307,0.32884073,0.09116527,-0.6724528,-0.33510113,0.10615596,0.48967224,-0.5667884,-0.17289798,-0.07111424,-0.5744337,0.58931476,1.0857624,-0.10843986
20,25.0,0.2935813,0.18790485,-0.27691695,-0.38729182,0.20920178,-0.6188214,0.20497568,-0.6557917,0.3930177,0.09749229,0.29032165,-0.21449219,0.2465809,-0.48390302,-0.37404248,-0.14825682,-0.07373421,-0.91141564,0.5250039,1.5481305,-0.18670848
21,26.0,1.4751856,1.1690838,-0.12353781,0.62376815,1.14599,1.1854551,-0.161147,-0.13340388,1.6803398,1.4505618,0.10873084,1.4523956,1.088742,-0.41111472,0.86027426,1.8948448,-0.0704355,-1.0320984,1.9204203,1.0449417,
22,27.0,0.90218174,-0.16873567,-0.051600367,-1.3822429,0.8947899,-0.5548484,-0.65926147,-0.69897693,0.86117435,0.68739206,3.2542276,1.3450732,0.9204624,-0.91369677,1.3874365,1.7894261,-0.07255988,-1.2182617,0.5887796,-0.25044405,-0.11655509
23,28.0,0.8721785,0.59674233,-0.401804,-0.38838798,0.8856928,-0.584546,1.2735906,-0.7614529,1.78072,1.131481,2.150577,0.40759763,0.9193693,-0.58268434,-0.16264309,2.677857,-0.12269736,-0.9578218,1.2387521,-0.34456107,-0.15386982
24,29.0,0.1242463,0.4899203,-0.3514654,-0.9329788,-0.08798472,0.12246998,1.4360118,-0.6472443,0.7524323,0.29781404,-0.06414796,-0.39318508,-0.14534146,0.50199974,-0.83704203,0.4463393,-0.067517795,-1.3460692,0.518876,0.5815303,
25,30.0,0.029296458,1.4260546,-0.023077818,0.2770981,-0.08912773,2.9874504,1.5865047,1.1793454,0.75924665,-0.004890755,-0.07587259,-0.10269796,-0.49611348,0.36625594,-0.27851564,0.5898979,-0.0728537,-0.76818323,1.3426423,2.384733,
26,31.0,-0.3926406,-0.9862964,-0.454965,-0.8625951,-0.43588525,-0.88788676,-0.51203406,-1.0015972,0.19751108,-0.38766897,0.5184448,-0.5661973,-0.523313,-0.78771573,-0.9860771,-0.66071475,-0.067348905,-1.4144014,0.0538068,0.28476074,-0.23506965
27,32.0,0.5970409,-0.32979828,-0.046595015,-0.4244502,0.52154094,1.4438763,-0.08385239,0.3094854,0.57202446,0.416754,1.6983521,0.9410075,0.13789478,0.5334004,0.15981787,0.22530223,-0.058793306,-1.143465,0.6570794,0.9421859,-0.10408672
28,33.0,0.21110308,-0.46567035,-0.41001037,-0.6502027,0.1759705,-0.7689198,-0.5646138,-1.0856215,0.28713417,0.01414689,1.3425102,-0.36410084,0.3452932,-1.3765577,-0.8502745,-0.0924138,-0.086083286,-1.4543768,-0.31368852,0.09777713,-0.17481688
29,34.0,1.7069758,-0.486932,-0.23129407,-0.1104496,1.2260965,-0.06447233,-0.0010523635,-0.6820932,0.47979808,1.6794842,0.7869202,1.1669108,0.5649376,-0.65245974,-0.37187785,0.91924036,-0.06871277,-0.97982895,0.79324865,0.84484583,
