IVNO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
160_271_76,9,26.56312871,13.78933373,3779.151756,5.628746165,2246.135226,1440.733034,6812.256195,24841.95381,35.43159579,50.61124331,0.132493351,0.559657031,7.953870903,16.26677181,0.005704322,6.72975298,18.05804057,0.10757099,0.008234403
160_271_77,9,20.9195141,7.149487179,2557.82006,3.539761809,2160.616375,1340.358911,6980.89245,23395.89244,32.17988935,34.38779617,0.059712078,0.47015351,8.610901141,12.61499723,0.004654488,3.542595069,16.06917228,0.24168586,0.005491996
160_271_78,9,18.21884372,9.874111615,1981.445105,6.746725183,1767.050606,959.8341614,5798.866797,20417.82584,33.8520027,60.63983185,0.098396769,0.63800994,7.029802735,9.79212354,0.004239936,3.457783268,11.52803182,0.091040181,0.005115237
160_271_79,9,31.95510285,11.13006852,2798.923867,3.910058147,1844.317359,1389.518182,5328.51931,26267.09217,29.79080201,53.42335214,0.083200235,0.591991158,10.00866151,10.5968781,0.005802222,4.252615879,15.7275064,0.126804827,0.003949413
160_271_80,9,17.55148241,6.265188239,1682.286438,2.984960807,2655.220674,1249.016427,7551.448998,14624.67939,25.63520774,23.78918091,0.12055579,0.390303288,8.948498535,21.8914469,0.005518564,4.38787146,8.957080203,0.212234828,0.003982263
160_271_82,9,15.78412782,11.71180403,1694.77308,3.187883841,2329.502983,1340.995264,8098.030816,9312.577815,25.42914081,22.72670639,0.096182941,0.332139886,10.45361002,12.30678184,0.004562663,6.536724761,5.28272484,0.167967594,0.01315996
160_271_83,9,17.86541748,13.6270797,2709.362127,6.474782419,2317.152945,2029.376075,10878.9119,13636.12832,27.90745852,31.79186794,0.135704375,0.555061803,10.07731824,21.46331476,0.004650579,7.793941214,11.44552781,0.152259114,0.009285168
160_271_84,9,19.73455147,13.00660321,2251.996242,7.589266835,2300.561582,1339.02832,5969.45974,20161.10931,33.38533241,159.1297361,0.225557647,0.960148725,8.388750546,19.84398398,0.005574818,4.271421303,10.92483052,0.13589455,0.006870849
160_271_85,9,21.47061828,8.731930807,2201.109742,5.792983124,2588.597133,1501.288648,7479.07865,21169.92632,33.13162525,30.21362892,0.067272478,0.565812922,10.88030508,12.95059824,0.003906712,7.249500324,13.34411258,0.181029043,0.006158967
160_271_86,9,25.43574255,6.870666494,2801.022345,4.754383117,1888.500077,1058.836554,5617.897567,24673.25644,26.65277211,39.41003332,0.091166886,0.450387769,7.502405809,19.18316957,0.007158571,2.885179118,15.57798497,0.197620784,0.005470821
