leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,-0.34588993,-0.4300185,-1.2933517,-0.58918285,-0.99016094,-0.7772207,0.31118914,-0.37469587,-1.208657,-0.9893566,-1.0210799,-0.62134224,-1.1732204,-0.79779893,-0.59285676,-0.39993367,0.52358353,-0.33953914,-0.8555366
1,1.2808284,-0.5797723,-0.8428377,-0.5563288,-0.69829875,-0.06738201,0.63763386,-0.9160181,-0.18481325,-0.67881113,-0.3265163,-0.35431197,-0.5731507,,-0.06447842,0.7256775,-0.9531924,-0.189481,-0.016036104
1,-0.4611693,1.2831843,0.62589043,0.3994956,0.6458444,0.6282487,0.33842254,0.28221086,0.85230124,0.8705332,1.09648,0.5572951,2.3372238,0.49803123,0.25873998,0.23214273,-0.08441824,-0.4706524,0.21096785
1,-0.9053806,-0.96876913,1.3686261,0.8982307,0.9261632,-0.12254151,-1.2106249,0.3257598,0.19610676,-0.01916339,-0.19622529,-0.42408356,0.038523767,-0.29298252,0.03918885,-0.11150272,-0.048649084,0.11634603,-0.8412929
1,0.2802928,1.1040062,-0.044016596,0.19845027,-0.26507267,0.044417378,-0.48771822,-0.15980102,-0.069543585,-0.24976735,-0.24492869,0.053085223,-0.021466725,0.027965926,0.3493145,-0.45733744,-0.21740337,-0.71318585,1.4113564
1,-0.84365636,-0.7113596,-0.12821019,-0.21774918,-0.6613599,0.45708555,-0.6217704,0.22709721,0.26123902,0.48917106,0.40401113,-0.009583445,0.0290908,0.037109267,0.3221697,-0.88690054,-0.21849245,-0.7194412,0.4602866
1,-0.973796,-0.9021405,-1.7563832,-0.8479,-0.4023877,-1.5135046,-0.249571,-1.2381787,-0.3034015,-0.3745233,-0.1358067,-0.1354263,0.28585264,-0.24538256,-0.17349647,-0.7059126,-1.2119185,-0.3275375,-0.1640309
1,0.015277998,-0.5116341,0.20370086,-0.47682428,0.08030503,0.3053439,-0.22139291,-0.4683367,-0.8366933,-0.42958972,-0.36110386,-0.4825742,0.32883972,-0.25656804,-0.598872,-0.69320136,-0.27929845,-0.76015663,-0.417742
1,0.3018199,-0.047110435,2.445149,2.0266004,1.6359982,1.8924105,-0.41137788,0.49994102,2.4792278,5.1468124,5.6618586,4.812143,2.3826175,2.1985068,2.3714793,3.230812,-0.15150025,-0.064085774,0.53091455
1,0.29977515,2.8769243,0.80017775,0.9091469,-0.2277835,0.23109724,-1.2837139,1.3740275,0.41748154,1.5614742,1.3936197,0.4272057,1.3764625,0.09540762,-0.028448159,0.28742328,1.4734216,1.0283214,0.36418813
1,-1.1994648,-0.070460826,0.5356171,0.40813273,0.40606686,-1.2282995,-0.92184895,2.825621,0.22798398,0.31621096,1.718014,0.561412,0.30287358,0.44611835,0.18117473,0.9212649,3.0007327,0.7774107,-0.32319993
1,-0.55249673,2.1006603,0.4124545,1.2828013,0.41636583,-1.9296554,-2.010018,0.22918983,0.891754,0.46133864,1.346962,-0.17012224,0.4984778,0.5754262,0.34060824,0.16003272,-0.18802369,-0.37384817,0.13444091
1,0.38567498,1.8280796,0.8853667,-0.68560994,0.18628177,0.102656625,0.5162187,1.0684009,-0.4072796,0.34257764,0.27006263,0.97721994,2.4175847,0.6984966,-0.45608592,-0.8349744,0.55198085,1.3071663,1.0457315
1,0.006275401,-0.6057061,1.0883279,-0.799099,0.018882899,2.216496,0.5267771,1.4387248,0.41627398,0.5024309,0.023740046,-0.4140906,0.27613002,-0.61528856,-0.6014556,0.35739914,1.4630902,1.5862209,0.19396368
1,,,,,,,,,,,,,,,,,,,
1,-0.8954768,0.06256015,0.38376784,-0.5354927,1.1639593,-0.91463166,1.2606494,0.31022054,0.909402,0.03522443,0.34929073,0.9495469,1.6877744,0.015346496,-0.44610265,-0.5883732,0.13011836,0.04374684,0.21121451
1,-0.691465,1.2529173,0.22084752,0.8877931,1.1293836,0.000964867,-2.128011,2.0466514,1.4595037,1.9947633,1.7986815,1.0949945,1.9133765,0.28547072,-0.31785735,-0.7612827,0.6771774,0.07199042,-0.27011114
1,-0.03302074,1.7115448,0.44490227,0.48043448,1.4150896,2.2722325,-0.09905877,2.9746413,0.0663591,1.3204616,0.7246589,-0.22511312,0.8128708,0.28477925,0.20348123,-0.6904023,2.5541139,2.6867228,0.6201656
1,0.71676534,1.5099392,-0.16352367,-0.46483746,0.8902208,1.0858889,-0.32790342,2.0575144,0.7421041,1.6658018,0.62700784,0.050819676,1.7525539,0.09829699,0.26922685,-0.7463518,2.3529413,1.4246038,0.050817613
1,-0.980203,-0.51075155,3.5990825,0.7504805,2.6506782,0.67545915,0.14195766,5.971542,4.2835135,2.934371,2.4728682,2.7692974,5.7269573,3.2026725,-0.038779683,0.5515223,4.7437415,1.5027996,0.5580808
1,-0.032603025,1.1992068,-0.5207834,-0.47149405,1.2367935,0.08237951,-0.2091583,2.4913125,-0.046224702,1.0125812,0.42821687,0.14616834,1.431926,0.4625556,-0.5368953,-0.75950915,2.0068865,4.421324,0.098221
1,-0.054593462,0.727071,0.8383128,0.024499731,0.55314094,0.8428073,1.6145663,-0.025966095,0.57575387,0.92775726,0.9228177,1.803489,0.56832874,-0.028028792,0.12316321,-0.3582666,-0.32076213,1.7860198,0.13831297
1,-0.76411265,1.62803,-0.296613,-0.0792444,0.7839703,-0.18013895,-0.3746053,1.9425567,4.1371207,0.70845675,0.76084006,2.5184162,2.645227,2.4394548,0.8356809,0.13334186,0.66657114,3.281257,2.2248642
1,-0.43752977,-0.8885699,-1.3872932,-0.49291077,-1.0931617,-0.603095,-1.799653,-0.17403416,1.752851,0.94162,0.64165705,-0.24629767,1.0306646,0.003693321,0.25825807,-1.111976,-0.11864538,-0.7778522,0.6677849
1,-1.1980934,-0.9083895,0.33524477,-0.28814974,1.6979327,0.5150522,1.3169225,1.1726115,0.4207681,0.75747097,0.5000538,0.49142548,1.6091609,0.27893633,-0.022731831,-0.47663978,0.58449185,7.4613733,0.007215538
1,-0.93007797,0.027744314,-0.51786447,0.47172034,0.6189578,0.6771755,1.2718025,0.6536952,1.1794759,0.2695653,0.49387488,2.61474,1.0996172,0.90339553,0.4644407,-0.13958983,-0.17869027,1.1919262,
1,-0.2986162,0.4668629,-0.22519183,0.8986173,0.80487543,0.70381945,0.30979466,0.26182508,0.0845093,0.6995146,0.57713616,1.3612927,2.2935238,1.0016885,0.40843523,0.18362422,-0.43683982,3.0158825,0.34867373
1,-1.2614849,-0.88995475,0.70208263,-0.36259416,-1.3518708,-0.5648757,-1.0909789,1.1620299,-0.38443393,0.43150735,0.010532271,-0.44759274,0.36979303,-0.24637477,-0.31699917,-0.71065927,0.63767165,0.2575213,-0.19529177
