leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,0.4721805,3.0986943,0.7828222,-0.033101864,1.381222,0.06988921,1.6492934,-0.17861827,0.49813306,0.3545161,0.33220857,0.9438285,2.8111696,0.4486359,0.074108176,-0.34020856,-0.47345203,1.1594752,0.1970394
1,-0.33740193,0.3294788,-0.63015574,0.057634264,0.28278324,0.073100835,0.8275104,-0.51247346,0.327711,4.512132,2.7662342,2.0210838,1.7318004,0.9118321,0.08560657,-0.4424739,-0.6916855,0.4494618,0.10050812
1,-0.550116,-0.2639048,-1.9687302,-0.09726842,-2.9789026,0.06657417,-3.4798462,0.63774526,-0.31374806,-0.39717883,-0.35468236,0.43226656,0.17003372,-0.35843962,0.052420422,-1.1644211,0.66766196,-0.2084531,0.050792817
1,0.002840601,1.0284042,1.6458784,-0.10447719,0.5266148,0.07269469,-0.398588,1.9282528,0.18853074,0.80224586,0.2818657,0.35218078,1.4067087,-0.15350161,0.052151714,-0.408007,4.009114,0.9706665,0.061367918
1,0.52476335,2.2781215,0.21244682,-0.08818015,0.9866866,0.072096005,-0.1770596,1.1087942,0.14973393,1.2094272,0.9636085,0.6656681,2.675035,0.06907298,0.06860113,-0.20853859,0.42526373,1.0003884,0.15658143
1,-0.3289973,2.1264927,1.0457973,-0.08581973,0.36288446,0.07109349,0.6674997,-0.049298245,0.13682921,0.12269055,-0.010348602,-0.061787825,0.759281,-0.26197052,0.042780984,-0.23959304,0.96688575,2.4031,0.034718234
1,-0.2729775,-0.1396474,0.56480855,-0.09590244,0.026837545,0.06838119,0.6996148,-0.10481866,-0.14078157,-1.1716764,-0.71460825,-0.01526447,0.5002304,-0.16190152,0.06995949,-0.29807922,-0.14470743,-0.86211544,0.05999553
1,-0.14667441,1.0182942,2.1068223,-0.056813523,0.08578326,0.067955784,0.51659584,-0.08599844,-0.04365659,-0.7646413,-0.5368471,0.13477741,1.0754669,-0.18039383,0.070466675,-0.59262437,-0.014681987,-0.726515,0.041057367
1,0.479199,0.8064583,1.3275771,-0.09480779,0.15655148,0.069589145,0.5842502,-0.31355506,-0.109106176,-0.6502998,-0.6307782,0.018183274,-0.3205428,-0.10215392,0.065017775,-0.21126762,-0.43075147,-0.8552112,0.060008403
1,0.13483931,1.0101154,1.2488589,-0.056971792,1.5579631,0.07268452,0.61983365,0.9426443,0.12161279,0.93086326,0.6197961,0.1798382,0.76671916,0.61150444,0.09683729,-0.21487083,0.6086714,-0.83527553,0.13958217
