Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
E_35,1.832162474,-0.456276093,0.149876857,1.343399379,1.825923659,0.762778015,0.423678514,-0.200045611,2.027225778,1.868637054,1.385313439,1.452040009,1.345385981,0.563717576,0.416660285,1.416956512,-0.649994452,1.578169939,0.73534072,0.490436802
E_233,0.484958309,-1.486778854,-0.019668173,0.602316071,0.618954034,-1.935481484,-1.320978327,-1.856457873,-0.013186203,0.346875384,-0.14654032,0.065019238,0.041235404,-1.721405383,-0.727913155,0.317888035,-1.253402332,-0.033312711,-0.668497463,-0.190139219
E_225,-0.372349916,-0.519534507,-0.209843199,-0.706689102,-0.339669617,1.210609825,0.808039709,0.816053317,-0.212717382,-0.249034854,-0.49262967,-0.552680487,-0.316955564,1.483332559,0.390790739,-0.86755392,0.517144729,-0.277251756,2.21685114,-0.170472558
E_62,-0.131890154,-0.150463509,-0.109950434,-0.420747433,-0.187126938,-0.685177264,0.391783538,-0.44528804,0.222334091,-0.067702263,0.188416482,0.130426792,0.483131298,-0.259001029,-0.249521427,-0.4484246,-1.300999386,-0.489820491,1.938469931,-0.23885151
E_234,0.156685329,0.311219989,0.148126888,0.976934891,0.165467705,1.525372173,0.317232163,-0.349444856,0.995828948,0.290086788,1.118147588,-0.153762164,0.241469272,1.020015676,-0.152673344,1.088793926,0.327977143,1.177771063,-0.374606378,0.003792986
E_124,-0.110944733,-0.942414579,0.130746034,-0.030347432,-0.140503935,-0.358543897,-0.344201149,-0.842650227,-0.557263254,-0.366639815,-0.57808567,-0.102410003,-0.885908727,-1.011267617,-0.301564258,-0.5900484,0.397921461,-0.600764465,-0.460783719,-0.189499235
E_219,-0.462233692,1.279287509,-0.315550003,0.711966924,-0.40730343,0.079214695,0.468528836,-0.502251191,1.302183929,-0.329032068,-0.266323224,-0.080696274,0.248716112,1.012062041,0.232739671,-0.390014653,-0.837961779,1.364553491,2.180532487,-0.106312216
E_226,-0.449314834,-1.014233949,-0.204860796,-1.595341001,-0.371809297,1.664436575,0.020535683,1.211399175,-1.359321493,-0.300941132,-0.744874711,-1.021564162,-0.32310953,2.086868778,-0.36109384,-0.890191435,1.469562968,-1.64914628,1.767266219,-0.217002774
E_116,-0.252878074,0.115728414,-0.209044543,1.775333051,-0.271309498,0.422006901,-0.38059321,-0.106172613,0.943409104,-0.321011545,-0.408614125,-0.054198393,-0.382018449,0.478890133,1.891810953,-0.470464292,-0.581629493,0.87085547,0.481679223,-0.251732981
E_215,-0.150727377,0.489274689,-0.060905322,-0.169529969,-0.241771703,-0.536951415,-0.28041648,-0.237180242,0.690586405,-0.102832965,0.250198639,0.434313169,0.307627754,-0.19916106,2.068731019,-0.32512741,-0.436183959,0.253629378,-0.024730023,-0.148699231
E_157,-0.458769793,-1.085071346,0.525596444,-1.906651114,-0.423237389,0.626272643,-0.010876731,0.16764303,-1.433714995,-0.638019858,-0.930904363,-0.625838958,-0.67311307,-0.291870125,0.478255652,-0.607956289,0.590969126,-1.695477636,0.805279591,-0.126509378
E_156,-0.323830178,-1.02698246,0.238004775,-1.45777583,-0.285970249,0.527242641,-1.330562285,0.712597759,-1.780361809,-0.489116469,-1.053599212,-0.794252679,-1.109722439,-0.618153138,-0.458670876,-0.526242104,1.878513099,-1.733412536,-0.394265173,-0.274116128
E_155,-0.119471596,-0.16579956,-0.182835804,-0.511552576,-0.083356598,-0.898351765,-1.270379032,-0.294127099,-0.064979322,0.24982413,0.078970174,-0.457280135,0.439405439,-0.908605351,-0.755710479,0.032346875,-0.147679739,-0.497665654,-0.472684717,-0.216584327
E_154,-0.379140036,-0.715760805,0.134129309,-1.147045393,-0.423685827,-0.448327841,-0.85490615,0.095744878,-1.356875028,-0.32621729,-0.767868015,-0.835125506,-0.670124278,-0.596408003,-1.232083989,-0.457355339,-0.2008706,-1.416470009,-1.122760698,-0.278083982
E_97,-0.418711695,0.362621186,-0.137302628,-0.530722447,-0.341937104,-0.722304273,-0.120891741,-0.896836811,0.589055182,-0.154643171,0.277433421,-0.750221546,-0.461064624,-0.333637728,-0.297133184,5.259666094,-0.736654204,0.271830378,0.010748439,-0.233415378
E_140,-0.471684515,-1.046360129,-0.029896983,-0.985258479,-0.300039358,-1.184855901,-1.428969699,-0.79493023,-0.558402685,-0.625992695,-0.637139799,-0.847945718,-0.740999719,-1.138866745,-0.194138253,-0.429137468,-0.802356439,-0.547025272,-0.000147195,-0.173420419
E_59,0.055937277,-0.223386946,-0.012753825,0.652185509,0.048474664,-0.408448526,-0.060374651,-0.577286508,0.387008251,0.025333745,-0.564507545,-0.101417196,0.199286702,-0.76431868,0.397440009,-0.107065351,-0.892079951,0.116122098,0.510189922,-0.18103234
E_73,0.70717231,-0.682985093,-0.171979453,1.577717926,0.801768293,-0.977622954,-0.864407395,-1.005361646,0.840337186,0.785946762,0.104726657,0.389264245,0.691916519,-1.342280578,0.843756148,2.953165652,-0.729559611,0.485295059,-0.778684043,-0.159374065
E_227,-0.182367816,-0.034578312,-0.311169849,1.717523108,-0.10389782,0.456826728,-1.334731954,-1.221421819,1.606948437,-0.066864448,2.644506433,-0.058548213,0.400895169,-0.27052962,0.046619794,-0.194219229,-0.818016272,1.266505114,-0.214926274,-0.168301362
E_22,0.189551967,2.189235217,-0.119166846,-0.053000538,0.058524407,-0.196007205,0.763354242,-0.464985629,1.626959524,0.207749977,0.017716925,-0.229580572,0.30105487,0.161294035,-0.513448015,-0.014724688,-0.448003229,1.51593039,-0.112210687,-0.193670221
E_24,0.238890596,0.667255797,0.110250938,0.218107437,0.183275837,0.693451298,0.282328946,-0.373733082,0.328840733,0.091165263,-0.672452798,-0.335101124,0.106155961,0.489672254,-0.566788403,-0.172897987,-0.574433674,0.589314778,1.085762421,-0.10843986
E_188,-0.553557377,-0.462628182,-0.163917497,-0.175269897,-0.219506901,-0.636493138,0.311407135,1.264871571,-0.822057593,-0.536568776,-0.401628134,-1.123891827,1.611112618,-0.522903453,-0.611842037,-0.103839072,-0.222528267,-0.214974359,0.07503271,-0.263188649
E_25,0.293581317,0.187904849,-0.276916955,-0.387291804,0.209201782,-0.618821387,0.204975674,-0.655791686,0.393017696,0.097492295,0.290321659,-0.214492187,0.246580905,-0.483903035,-0.374042485,-0.148256827,-0.911415664,0.525003886,1.548130494,-0.186708479
E_174,-0.305507681,2.526989701,0.185651562,0.385740656,-0.23553644,-0.6432362,1.388950412,-0.49248257,1.729259007,0.113946636,0.509754337,-0.792360435,-0.419281651,0.250970717,-0.734369255,-0.056099151,-0.551076942,1.433017571,-0.570150375,-0.150056334
E_173,-0.439320997,-1.212426365,-0.028288006,-0.23221732,-0.424169277,-0.82979867,-0.572933045,-0.624409587,-0.76452172,-0.614869378,-0.808394757,-0.752887984,-0.990768463,-0.35426249,-1.079217422,-0.742835777,-0.312652994,-0.803679933,-0.324524167,-0.248910628
E_177,-0.711505781,-0.991440695,0.264801922,-0.842575528,-0.414992438,1.394147735,1.482199449,3.306604941,-1.356255306,-0.179246652,-0.545001272,-0.566583796,-0.132828048,1.257611984,-0.391239284,-0.508795667,0.956536044,-0.98793837,-0.180131313,-0.234859063
E_170,-0.03124609,0.636311666,0.01525557,-0.171655942,-0.148643497,0.87155129,0.785356097,0.37290506,0.259816936,-0.073463962,0.011153325,-0.781136009,-0.210053517,0.803476533,-0.414579218,-0.346904584,-0.115582853,0.241730946,1.401721148,-0.262598569
E_117,-0.462016412,-0.797506277,0.22874856,-1.276050592,-0.408627033,0.803336599,1.855444203,0.399194115,-1.385123992,-0.489888979,-0.728435432,-0.920040487,-1.018616133,0.047934162,-0.222912814,-0.724958761,0.394360723,-1.433407861,0.414889472,-0.286860983
E_114,-0.330548685,-0.608989742,-0.204066707,-0.117275662,-0.342862959,-0.507747042,0.016272557,-0.246701117,-0.243140945,0.759569016,-0.526305792,-1.028205853,-0.649476937,-0.279356189,-0.829756262,-0.182939318,-0.451578957,-0.340489727,-0.458394439,-0.238868221
E_128,-0.454008316,-0.194621408,-0.284337787,0.678392467,-0.380190978,-0.520901759,0.148937435,-0.853365899,-0.046442231,-0.340580006,-0.802252318,-1.043939071,-0.509104137,-0.791624613,-0.785513768,-0.373879991,-0.498171024,-0.119551689,-0.617541228,-0.218680342
E_109,0.348067068,1.349821396,-0.104287002,1.104073033,0.353027313,-0.21544661,0.752214846,-1.142908486,1.770784066,0.645513001,1.647212448,-0.221547282,0.460360971,0.139349111,-0.69527326,-0.230656341,-0.960187878,1.484591593,-1.3827631,-0.183038418
E_50,-0.461361938,-0.124028097,-0.203959036,0.141790403,-0.403715303,0.323301138,-0.314515601,-0.34610521,-0.091269919,-0.507715138,-0.628832779,-0.702084484,-0.708789975,0.263387987,-0.601582482,-0.065698657,-0.457853784,-0.13667175,3.442418852,-0.151594452
