IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
160_271_209,Vitis_rup_rip,27.31205738,8.787553322,2664.515053,4.392789792,2075.403352,933.4309034,5642.651316,28467.94752,25.88036967,55.44667195,0.07727397,0.526332585,8.340593771,9.795806574,0.003832518,3.052867999,18.72480335,0.150670495,0.005330308
160_271_210,Vitis_rup_rip,18.67892386,7.951339298,2633.997658,3.134763642,2163.69216,1197.150009,6230.522465,23481.78861,26.70413668,39.17217794,0.04964185,0.442624069,8.186747397,9.445370025,0.003089007,4.105727043,15.04147811,0.225245967,0.003878346
160_271_211,Vitis_rup_rip,20.13172465,14.82305989,2596.950477,6.002020985,2091.573637,1060.29638,8175.235115,18929.36599,30.88581952,57.66688983,0.121793313,0.810174988,9.716409917,13.27504075,0.011491924,8.971772755,11.31233664,0.104918464,0.004453221
160_271_212,Vitis_rup_rip,16.50717371,12.15388116,1982.235785,3.945778233,2245.715037,1417.232079,7656.028601,12247.52057,23.66683218,33.7282071,0.14686944,0.466691233,8.561552081,11.49450268,0.004893402,9.32232547,6.949233861,0.160061528,0.003082748
160_271_213,Vitis_rup_rip,14.42915861,12.19123037,1870.832213,2.746908574,2470.232217,1392.384676,8600.736629,13996.60448,21.24665577,22.76851652,0.048029699,0.331227072,10.86072493,12.77292286,0.004994846,5.502973685,7.648692133,0.273380785,0.001593947
160_271_214,Vitis_rup_rip,17.88785591,6.34161203,2589.69638,3.328060493,2799.928824,1495.669834,10404.80299,16192.73199,23.36249682,31.44815353,0.063381227,0.392742413,10.14554514,13.87364255,0.004235787,7.581741362,13.35312366,0.223217072,0.002148035
160_271_215,Vitis_rup_rip,21.07517043,11.1104867,2266.027298,4.728165699,2107.783492,1225.330896,7293.067582,20896.21895,31.25954297,47.29876906,0.155502077,0.626019867,8.797245405,32.66721551,0.004745665,4.775925552,12.37905803,0.159890152,0.005613681
160_271_217,Vitis_rup_rip,27.92956516,12.98201013,2429.497969,3.914683718,2625.700718,1591.966842,6465.740043,25057.91599,34.89432215,36.1535437,0.168204049,0.580787309,10.43229935,54.72056664,0.007602361,3.158964242,14.30508792,0.243200224,0.009572075
160_271_218,Vitis_rup_rip,20.36498175,13.57941268,3213.057441,9.717955244,3866.863263,2093.664353,10553.60503,19019.27415,36.68809689,65.75066728,0.155437507,0.678389422,10.42713387,31.22054202,0.007648169,4.406967352,16.5941013,0.228089958,0.01058398
160_271_219,Vitis_rup_rip,24.58460524,7.173821686,2770.900367,3.233150091,2356.462748,1476.204001,6830.597705,24101.51302,26.97606819,35.29986696,0.122231089,0.611741344,10.51277934,19.01291279,0.004428296,3.628104553,16.86960164,0.260532119,0.006914929
160_271_220,Vitis_rup_rip,18.78195922,10.82994727,2282.670625,3.178310313,1931.755597,889.2034437,6233.550859,15609.88208,37.57323026,30.08453466,0.064357224,0.394228817,7.566998041,9.726756407,0.005942515,5.467491026,9.355240638,0.112555246,0.003938405
160_271_221,Vitis_rup_rip,16.62142487,13.05142519,1992.42155,5.870452963,2411.369722,1384.061966,8961.778806,17488.39054,25.18572901,31.97815022,0.064229951,0.356183254,8.610117356,13.84309808,0.004788243,5.904990273,12.1102662,0.193822781,0.008392082
160_271_222,Vitis_rup_rip,27.30802846,6.229844971,2612.113658,3.086848392,2165.07947,1427.014475,7413.839034,21046.54734,26.67701256,45.95887361,0.099893319,0.424118021,9.491467803,12.59118957,0.005195569,8.01141291,14.87384545,0.131356715,0.003404084
160_271_223,Vitis_rup_rip,20.40833109,13.29220362,3108.257082,6.870545084,3040.877662,1032.895268,7406.814342,23402.19633,35.81882619,78.64613433,0.101390761,0.528871613,10.16347694,19.91276786,0.004242093,4.740372101,16.96328076,0.202024876,0.012117441
160_271_224,Vitis_rup_rip,15.84538142,11.12300561,1694.876708,3.06165845,2328.581732,1226.13864,8462.007898,13840.6733,23.70483142,23.72065053,0.092371721,1.67025488,9.837588447,18.41434432,0.002508876,7.201960363,8.445890154,0.150117543,0.003030402
160_271_225,Vitis_rup_rip,16.59378732,8.807990038,1958.37201,3.843991333,2813.083933,1589.929456,9130.646525,16162.13459,28.49095504,30.04272475,0.091739646,0.474638459,11.18027038,20.1883416,0.002092611,7.499447436,10.23314648,0.2621896,0.004945257
160_271_226,Vitis_rup_rip,14.3962085,8.885015212,1449.400946,3.553718747,2996.244442,1326.140397,9820.407327,10152.94846,27.50801909,24.18302399,0.061448506,0.473146911,12.03509792,14.59656163,0.001981889,10.2203683,4.687716222,0.241671811,0.003516816
160_271_227,Vitis_rup_rip,18.7480842,7.241536429,3346.827794,5.973386852,2508.863664,872.1684012,5575.859103,25698.73968,31.9406696,102.918999,0.123661913,0.648625262,8.696161479,17.62873571,0.005385948,3.685085975,16.47327348,0.151210131,0.005011911
160_271_230,Vitis_rup_rip,27.55741213,5.646737612,3133.745701,4.148424464,2173.914833,1075.422784,6923.877402,23631.46137,33.9562186,59.97138247,0.120591594,0.481312123,7.546654022,21.09916505,0.007520596,7.250898276,16.95459735,0.104781828,0.010632258
160_271_231,Vitis_rup_rip,18.27116686,6.660631565,2058.059737,1.934820146,2498.975455,1414.35,9027.711359,16838.61005,24.94343776,31.35418803,0.081795464,0.436017971,10.1434538,21.34724087,0.002030001,5.354436397,8.852954942,0.174861579,0.005173692
160_271_233,Vitis_rup_rip,12.29704568,11.74799007,2708.098373,12.50189245,1543.348981,876.7754333,4467.910281,17207.84861,39.77555537,38.08244682,0.131644701,0.561453863,6.641191915,11.86851938,0.007890708,2.441251107,11.21918946,0.13051042,0.004341506
160_271_234,Vitis_rup_rip,20.28420686,14.34200831,2922.659485,8.406187327,2940.119265,1425.524378,7097.199258,22495.95092,38.7001642,67.46138984,0.117510837,0.609984914,10.52404459,16.14658884,0.011661274,6.959023059,16.1145954,0.143922781,0.010295072
