MO_ID,E_ID,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21
MO_653,E69,786.75,582.75,782,583.5,782.5,594.25,781.75,601.5,787,549.75,788.5,555.75,782,554,737.833,549.833,742.333,552.333,738.167,555.833,714.625,600.375,720.375,600.125,717.75,605.5,822.5,482,727,432,729,457,688.5,440.5,586.5,482.5,615.833,516.833,583,538.5,489.167,631.5
MO_655,E73,923.5,585.5,916.167,586.833,922.833,566.167,923.167,557.5,912.5,640.167,915.833,636.167,908.5,633.167,835.167,626.167,843.5,624.5,837.833,618.167,819.833,541.833,825.167,544.5,825.167,537.167,943.5,788.5,763.5,813.5,768.5,782.5,686.5,753.5,576.5,636.167,619.167,597.5,600.5,518.833,693.833,380.167
MO_657,E75,728.333,608.333,721.167,603.333,717.833,599,718.167,591.667,727.25,638.25,730.25,632.5,723.5,632.75,675.5,634.833,681.833,632.5,676.333,627.667,643.667,588.667,647.417,589.833,646,584.833,763.167,714.5,667.5,754.5,662.5,729.5,610,735.5,524.167,653.167,537.833,636.5,515.167,622.5,473,572.5
MO_658,E77,824,561.667,815.5,565.333,812.333,573.667,812.333,582.667,827.667,512.667,828.333,519.5,820.667,517.667,766.833,514.667,771.333,518,766.5,522.667,725.333,571.167,731.667,571.167,729.333,577.667,932.167,453.833,834.167,333.833,811.5,352.5,726.5,315,544,362,578.5,420,534.5,467.5,510.5,666.5
MO_664,E89,923,704.5,916.5,703.25,916.25,715.25,916.75,723.75,928.75,656.75,929.25,662.5,924,660.75,867.625,651.375,872,653.75,868.375,656.125,845.5,717.125,850.75,717,849,722.125,981.5,585,899,520,884.5,530,827.833,511.5,683.833,550.833,699.167,592.167,660.5,616.833,525.5,733.5
MO_665,E90,998.25,688.5,993,686.5,992,677.25,992.5,669.75,998.5,741.25,999.75,735.5,992,735.75,925.5,748.75,929.625,745,924.875,739.625,898.75,664.25,902.875,665.375,902,660,1096,841.5,920.5,953.5,913.5,910.5,853.833,929.5,686.5,826.5,729.5,794.5,699.5,753.5,566.5,541.5
MO_667,E92,929.5,634.5,925,632,923,624.75,924,617.75,923.25,672.75,925.75,667.25,919,668.75,863.333,670.833,868.5,669.333,863.5,664.5,834.667,609.833,840,610.833,839.25,604,972.5,741.167,878,806,866,787,797.833,801.5,666.5,733.5,694.5,705.5,653.5,673,550.833,542.833
MO_670,E95,1032.25,619.5,1027,615.5,1025.25,605.25,1024.75,595.75,1038,670,1036.75,662.25,1030.75,666.5,953,690.75,956.625,687.5,951.75,684.25,921.625,604.125,926.875,603.875,924.625,597.5,1167.833,749.167,1012.5,901.5,981.5,864,915,873,721.5,851.5,749,784.5,693.5,760.5,525,558.5
MO_672,E97,977.25,667.5,971,667,967.5,659.5,966.25,653.25,979,707.5,980.5,702.25,973.25,704.25,919.5,717.25,924.5,713.75,920.25,709.25,873.5,661.833,879.5,662.167,875.167,656.833,1056.833,821.833,932.167,906.5,914.167,883.833,843.833,911.833,674.5,842.5,707.5,798.5,675.5,755.5,554.167,639.833
MO_673,588271 (Riparia parent),1143.5,598,1134.5,600.833,1124.5,596.5,1123.333,589.667,1165.833,619.833,1162.667,614.5,1157.167,619.833,1106.667,682,1111,678,1104.667,675.833,1045.333,607.667,1051.333,606.5,1047.167,599.667,1283.5,660.5,1200.5,800.5,1170.5,785.5,1123.5,831.5,973.5,844.5,959.5,787.5,906.5,768.5,709.5,619.167
MO_674,E98,864.25,540.5,858.125,542.125,853.125,536.625,851.75,529.125,875.25,571.5,875.75,565.875,869.875,568.375,830.875,592.625,835,589.25,829.375,585.625,780.375,550.75,785.875,549.625,782,546,923.833,636.833,854.5,697.5,842.5,684.167,810.5,707.5,699.5,698.5,708.167,663.833,676.167,653.167,551.5,587.167
MO_677,E101,803,670,798.5,670.5,796.75,683.75,794.75,689.5,809.5,632.5,809.5,638.25,804.75,634.5,755,611.667,758.667,615.667,754.167,617.833,722.625,670.875,727,671.5,724.75,675.875,863.5,565,789.5,504.5,776,516,722,492.5,642.5,540.5,652.5,572.5,615,590.5,572.833,666.167
MO_678,E102,817.167,733,812.5,732.167,807,739.167,807.5,745,824.5,706.833,824.5,712.167,816.667,709,777.167,689.167,781.167,692.333,778,695.167,750.375,734.875,755,735.75,752.375,741.75,867,648.833,797.833,593.167,791.5,610.5,751.167,589.5,652,599.5,667,641,630.5,653.5,568.167,745.5
MO_679,E103,870.125,569.375,864.875,568.25,860.75,562.75,860.375,556.25,870,601.333,871.333,596.167,864.833,598.333,828.5,612.833,833,609.167,827.5,606,798.625,562.625,803.875,562.875,800.625,557.625,923,638.5,863,726.5,851,713,797,732.5,702.5,727.5,710.5,679,669.5,663,584.5,585.833
MO_680,E105,871.167,626.333,865.833,628,862.167,633.167,862.167,639.5,871,600.833,872.167,605.5,866.5,603.833,826,588.5,830.5,591,826.5,594.5,798.333,629.667,803.333,629.5,802.333,635.5,893.5,533.167,823.167,493.5,818.5,507.5,784.833,502.833,724.5,512.5,732,537.5,696,545,616.833,570.833
MO_682,E108,929.25,581.5,922.75,577.25,919.25,585.5,919,593.25,933.25,551.5,934,557.5,927.5,554,891.5,543.5,897.75,548,893,550.75,862.5,588.667,868.5,587.833,865.5,593.5,980.5,492.5,900.5,434,901,454.5,860,435.5,768,472.5,785.167,497.5,749.833,520.167,683.167,595.5
MO_685,E112,958.167,706.833,949.167,707.167,948.167,693.5,947.833,684.167,964.167,753.167,964.833,746.167,955.833,749.5,900.75,761.75,905,758.75,900,754.75,869.333,691.333,875.833,692.167,873.167,686.5,1042.167,860.5,905.5,935.167,899.5,915.833,826.5,927.5,680.5,876.5,697.5,837.5,665.5,814.5,520.5,649.5
MO_686,E113,863.5,746.75,857,742,852.75,736.75,853.25,731.75,860,778.75,863,774.5,855.5,773.25,808.25,779.5,813.25,777,809.5,771.25,784.667,728,789.333,730.167,788.167,723.333,909.5,870.167,793.5,918.167,788.833,893.5,724.833,902.167,626.5,831,669,804.5,646.5,805.5,573.5,663.5
MO_687,E115,854.833,641.5,848.833,638.5,842.833,647.167,842.167,656.167,861.5,623.833,862.5,629.5,855.833,626.667,819.167,603.833,823.167,608.833,816,611.167,783.5,634.667,790.833,636.833,786.833,641.667,915.5,577.5,866.5,505.5,859.5,515.5,834.5,490.5,719,474.5,719.5,517,682.167,528.167,580.833,650.833
MO_717,E149,866.167,621,861,620.833,858.333,629,859,633.333,864.833,592.167,865.333,597.667,860.833,595.667,824.667,584.333,829.167,588.167,825.5,589.833,804.167,626.333,809.667,626.667,808.5,631,912.5,515.5,842.833,476.833,833.833,490.167,801.5,466.5,709.5,483.5,713.5,513.5,667.5,536.5,587.833,623.167
MO_722,E155,793.333,567.167,786.5,568.5,781.833,577,781.667,583.833,800.833,533,800,539.5,794.5,537.333,751.5,515.125,755.875,519,751.625,521.625,708.125,566.875,712.875,567.625,710.5,572.875,875.5,452,776,376.5,767,401.5,712.5,366.5,589.5,404,616,440,587,462,519.5,589.833
MO_723,E154,918.167,629.167,912.167,626.833,905.5,633.833,904.833,641.167,932.5,600.167,929.833,605.833,923.167,601.833,883.5,582.167,887.833,587.167,882.167,590.833,823.25,620,830.25,620.25,827.75,625,1016.5,553.167,947.833,450.5,931.167,470.5,878.5,431.833,723.833,450.5,741.833,503.167,697.833,513.167,578.5,647.5
