IVNO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588225,7,43.09493982,23.01377817,1509.670683,5.014830813,5713.32757,2717.273894,15834.73149,8498.744848,77.04598241,173.0505365,0.070492979,0.499101259,67.77332413,66.38257616,0.006041676,3.331940235,8.534732366,0.236753805,0.01610622
588229,7,88.15204924,51.65950757,3067.418838,7.542167476,6291.927723,2584.935141,18574.43896,9368.200535,52.76537934,196.5826838,0.064868801,0.217294471,57.70789905,62.06786832,0.009959249,2.407722842,10.74468194,0.459142433,0.017632352
588223,7,54.19837182,47.52964561,2488.757927,11.56042786,5502.411331,2430.181886,14902.13896,8773.805812,59.31028284,488.7452175,0.187759492,0.731062853,104.3455668,119.0520143,0.008278074,5.350055053,7.522837318,0.092470938,0.024550736
588231,7,121.7370113,85.54020788,1858.926998,7.889432901,4142.061981,2414.080308,12225.96301,8822.047945,48.09550424,273.9059498,0.104850838,0.468825281,67.70700085,59.82772049,0.01554597,2.013464821,8.591914759,0.229232743,0.024539904
588142,8,70.20753236,29.01321194,1890.542889,10.87722529,5582.536697,2321.518023,14530.81304,10377.36521,52.1876638,241.999741,0.093614077,0.368507766,27.84615961,109.2062024,0.017511307,4.577371204,10.86824997,1.227053016,0.040030234
588679,8,93.25753743,44.15991729,1509.802392,8.734917089,4580.865433,2011.649073,11839.41947,9644.581568,56.61280636,373.5908721,0.150854751,0.358653951,49.1994489,83.54956675,0.009787624,2.913439314,8.532688726,0.134196544,0.017540841
588680,8,89.44556879,73.41621365,1929.939998,9.283803829,3883.486147,2248.008527,13703.53072,5683.413727,69.5092076,438.4170418,0.198660607,0.577767646,57.15246832,98.33617718,0.014895189,3.367365148,5.096002173,0.089663919,0.017567888
588133,8,99.93852028,82.26281411,1914.233695,9.121393213,6313.635008,3011.589923,16561.43795,9186.300033,80.36523686,333.2399122,0.127405503,0.560017939,88.48030731,96.03651667,0.028032978,2.902466564,8.407009437,0.644787682,0.041059777
483180,8,72.75801158,21.27012332,1160.024258,5.736736469,4133.563985,1615.268473,10175.97167,7006.33465,45.64434775,206.9122482,0.146688594,1.302365524,46.79570903,33.13585349,0.007375028,0.808556042,7.472322966,0.144871021,0.033695098
597115,8,55.13986289,52.08858212,1414.622137,6.075946928,5258.528878,2554.808234,10168.91155,13811.38292,44.96810378,471.0354138,0.14577209,0.294006275,59.24821896,84.11544349,0.011411877,1.452302891,16.87766635,0.450268308,0.026208928
483184,8,88.82988063,63.8924295,1094.369911,11.17387151,3957.876702,1918.383518,14215.8815,4399.731258,51.04656016,420.0261431,0.189691103,0.411848665,44.35700973,68.98659565,0.010245547,1.698398773,3.394425526,0.701405157,0.018838023
483190,8,56.95330457,55.26091661,1477.073875,10.03401106,3525.793628,2777.481861,13457.71319,9315.688387,54.75123759,434.9409373,0.169772421,0.535836614,25.4346691,113.6468917,0.008753716,1.108001563,10.91839531,0.091572174,0.035988245
483188,8,93.2551393,60.94773102,1158.669233,9.01943893,3803.667593,1860.41161,14218.13895,3802.814671,52.85414592,313.8899763,0.12869181,0.613659183,57.42393461,67.69665698,0.006298594,1.725265751,2.937984227,0.563468736,0.025749482
