Indv_ID,ZLi7,ZB11,ZNa23,ZMg26,ZAl26,ZP31,ZS34,ZK39,ZCa44,ZFe54,ZMn55,ZCo59,ZNi60,ZCu63,ZZn66,ZAs75,ZRb85,ZSr88,ZMo98
19,0.214683646,-1.116253374,-0.291047324,-0.335477439,0.271697656,-0.982749668,0.437336312,-0.410962754,0.23687077,0.306587887,3.626897225,1.305987157,1.891685655,-0.61374079,0.371993779,0.023636128,0.070762574,-0.226619328,-0.934812153
20,-0.209894354,1.754688847,-0.119166846,0.642413795,-0.201735093,-0.501309048,-0.793398674,-1.162967065,1.064138307,-0.081501921,0.254489277,0.113768272,0.150895693,-0.114428381,-0.715012358,-0.429508142,-0.697362912,1.041215506,0.144615971
22,0.189551646,2.189235217,-0.473478086,-0.053000538,0.058524407,-0.196007205,0.763354242,-0.46498563,1.626959524,0.207749977,0.017716925,-0.328782283,0.30105487,0.161294035,-0.513448015,-0.014724688,-0.448003229,1.515930389,-0.112210687
23,0.713785646,-0.929544798,0.110250938,-1.128812152,1.306118382,-1.63937127,0.874691612,-0.02060385,-0.77087388,1.310675837,-0.180687705,0.306718438,1.51748241,-1.364032524,-1.196546028,0.723367214,-0.561890473,-0.441619576,-0.660981596
24,0.238890646,0.667255797,-0.123537809,0.218107438,0.183275837,0.693451298,0.282328946,-0.373733082,0.328840733,0.091165264,-0.672452799,-0.434302835,0.106155962,0.489672254,-0.566788402,-0.172897987,-0.574433674,0.589314778,1.085762421
26,1.475185646,1.169083838,-0.051600367,0.623768164,1.145989982,1.185455091,-0.161146998,-0.133403889,1.680339812,1.450561753,0.108730841,1.353193824,1.088742074,-0.411114723,0.860274269,1.894844783,-1.032098411,1.920420348,1.044941671
27,0.902181646,-0.168735675,-0.401804009,-1.382242909,0.894789851,-0.554848401,-0.659261494,-0.698976948,0.861174358,0.687392046,3.25422771,1.245871489,0.920462405,-0.913696787,1.387436511,1.78942604,-1.218261721,0.5887796,-0.250444068
28,0.872178646,0.59674234,-0.35146541,-0.388387988,0.885692751,-0.584546039,1.273590543,-0.761452909,1.78072003,1.131481065,2.150577075,0.308395923,0.919369287,-0.582684316,-0.162643089,2.677856986,-0.957821791,1.238752109,-0.344561075
29,0.124246646,0.489920294,-0.023077818,-0.932978797,-0.08798472,0.122469975,1.436011799,-0.647244293,0.752432281,0.29781405,-0.06414796,-0.492386776,-0.145341452,0.501999749,-0.837042027,0.446339298,-1.346069243,0.518876033,0.581530282
30,0.029296646,1.426054644,-0.454964992,0.277098083,-0.089127727,2.98745032,1.586504672,1.179345318,0.759246648,-0.004890755,-0.075872595,-0.201899675,-0.496113473,0.366255942,-0.278515648,0.589897842,-0.768183258,1.342642329,2.384732912
