,MO_ID,E_ID,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42
0,MO_408,E136,3299.5,4862.5,3304.833,4826.5,3350.167,4814.5,3388.833,4809.167,2996.5,4887.5,3021.833,4886.167,3005.833,4867.5,2855.833,4366.167,2863.167,4381.5,2878.5,4367.5,3434.167,4201.5,3428.167,4222.833,3458.167,4216.833,2135.5,5455.5,1627.5,4505.5,1819.5,4449.5,1707.5,3937.5,2171.5,2999.5,2543.5,3155.5,2683.833,2938.5,3571.5,2488.5
0,MO_416,E148,5528.5,11689.5,5513.5,11649.5,5395.5,11667.5,5303.5,11667.5,6223.5,11657.5,6157.5,11654.5,6193.5,11612.5,6369.5,10804.5,6343.5,10846.5,6307.5,10792.5,5415.5,10352.5,5411.5,10412.5,5339.5,10388.5,7799.5,12844.5,9033.5,10898.5,8585.5,10762.5,8890.5,9645.5,7810.5,7845.5,7222.5,8229.5,6754.5,7611.5,5626.5,6675.5
0,MO_454,E192,2814.167,4844.833,2806.167,4807.5,2944.833,4852.833,2994.167,4864.833,2556.833,4842.167,2575.5,4851.5,2571.5,4815.5,2578.167,4407.5,2586.167,4428.833,2608.833,4414.167,3078.167,4162.167,3070.167,4180.833,3103.5,4188.833,1471.5,5078.5,1594.5,4088.5,1720.5,3707.5,1847.5,3604.5,2402.5,3214.5,2594.5,3118.5,2949.5,3009.5,3587.5,3258.5
0,MO_455,E193,3492.5,5383.5,3500.5,5359.5,3516.5,5331.5,3554.5,5349.5,3194.5,5379.5,3216.5,5381.5,3210.5,5359.5,3218.5,5013.5,3228.5,5029.5,3244.5,5019.5,3580.5,4753.5,3576.5,4769.5,3602.5,4765.5,2564.5,5906.5,2078.5,4964.5,2207.5,4904.5,2129.5,4520.5,2558.5,3653.5,2828.5,3812.5,3080.5,3503.5,3602.5,3139.5
0,MO_456,E194,3356.833,4952.5,3359.5,4925.833,3327.5,4911.167,3291.5,4908.5,3684.833,4983.167,3664.833,4988.5,3667.5,4957.833,3749.5,4616.5,3737.5,4628.5,3721.5,4606.5,3376,4296.5,3376,4307.5,3348,4304.5,4280.5,5673.5,4970.5,4773.5,4790.5,4713.5,5006.5,4278.5,4679.833,3271.5,4386.5,3408.833,4134.5,3137.5,3354.5,2507.5
0,MO_457,E195,3306.833,4716.167,3314.833,4672.167,3280.167,4646.833,3229.5,4652.167,3538.833,4794.833,3517.5,4786.833,3530.833,4768.167,3738.167,4428.833,3724.833,4444.833,3710.167,4415.5,3262.167,4058.833,3262.167,4076.167,3231.5,4066.833,4046.5,5720.5,4998.5,4796.5,4814.5,4680.5,4982.5,4240.5,4678.5,3124.5,4394.5,3248.5,3978.5,2844.5,3102.5,2452.5
0,MO_458,E197,3425.167,4732.833,3426.5,4707.5,3455.833,4698.167,3493.167,4704.833,3157.167,4724.833,3177.167,4730.167,3173.167,4708.833,3162.5,4348.833,3171.833,4364.833,3190.5,4348.833,3592.833,4138.833,3591.5,4152.167,3619.5,4150.833,2327.167,4998.167,2075.167,4138.5,2291.167,4115.833,2277.5,3778.5,2829.5,2978.5,3021.5,3162.5,3273.5,2970.5,3873.5,2526.5
0,MO_459,E199,3328.5,4837.5,3308.5,4809.5,3246.5,4855.5,3196.5,4861.5,3606.5,4779.5,3585.5,4786.5,3589.5,4764.5,3641.5,4391.5,3634.833,4406.167,3620.833,4390.167,3248,4139,3249,4154.5,3224.5,4152,4333.833,5195.5,4750.5,4151.5,4488.5,4185.5,4632.5,4047.5,4296.5,2987.5,3988.5,3175.5,3708.5,2943.5,3222.5,2319.5
0,MO_460,E198,3542.167,4919.167,3556.833,4897.833,3432.833,4923.167,3379.5,4924.5,3857.5,5046.5,3833.5,5042.5,3855.5,5026.5,3911.5,4658.5,3899.5,4674.5,3885.5,4648.5,3455.5,4376.5,3455.5,4402.5,3425.5,4394.5,4143.5,5534.5,4817.5,5084.5,4707.5,4964.5,4919.5,4494.5,4701.5,3530.5,4397.5,3660.5,4207.5,3346.5,3543.5,2689.5
0,MO_461,E201,2882.167,4830.167,2882.167,4803.5,2922.167,4784.833,2956.833,4787.5,2606.167,4826.167,2630.167,4824.833,2623.5,4803.5,2496.167,4369.833,2516.167,4395.167,2530.833,4375.167,2915.5,4063.5,2910.5,4091.5,2940.5,4080.5,1927.5,5380.5,1405.5,4408.5,1555.5,4366.5,1423.5,3892.5,1837.5,2992.5,2065.5,3118.5,2257.5,2908.5,3049.5,2236.5
